Statistic,Industrial production,CPI inflation,PCE inflation,Fed funds rate,M2 money growth,Unemployment rate,Nonfarm payrolls,WTI oil price
Obs.,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0
Mean,0.192,0.302,0.266,0.002,0.543,-0.002,0.138,0.378
Median,0.233,0.262,0.23,0.0,0.522,0.0,0.156,0.0
Std. dev.,0.99,0.311,0.245,0.492,0.459,0.428,0.582,8.268
Min.,-14.142,-1.786,-1.187,-6.63,-1.412,-2.2,-14.578,-56.813
Max.,6.347,1.794,1.221,3.06,6.223,10.4,3.422,85.259
Skewness,-3.709,0.283,0.492,-2.413,3.941,17.691,-19.982,0.726
Kurtosis,61.74,7.387,6.005,53.964,44.765,439.957,513.73,25.395
Jarque-Bera,116994.324,653.052,333.735,87463.813,60289.907,6414110.351,8759001.618,16808.95
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ljung-Box(10),93.825,1559.568,2403.082,201.019,898.139,9.826,19.903,56.752
LB p-value,0.0,0.0,0.0,0.0,0.0,0.456,0.03,0.0
Ljung-Box$^2$(10),40.573,1598.694,2657.808,258.047,339.521,3.044,2.731,77.117
LB$^2$ p-value,0.0,0.0,0.0,0.0,0.0,0.98,0.987,0.0
ADF p-value,0.0,0.026,0.04,0.0,0.0,0.0,0.0,0.0
KPSS p-value,0.019,0.01,0.01,0.1,0.078,0.1,0.01,0.1
