Relation,Lag,DRGCT,Linear VAR,NHKJ
MP to output,1,0.002,0.0074,0.2711
MP to output,3,0.2172,0.0491,0.0735
MP to output,6,0.1041,0.1618,0.0
MP to output,9,0.4775,0.1516,0.0009
MP to output,12,0.5586,0.025,0.0304
MP to output,18,0.6156,0.0732,0.0282
MP to prices,1,0.1431,0.0002,0.0
MP to prices,3,0.0591,0.0002,0.0
MP to prices,6,0.1061,0.0002,0.0
MP to prices,9,0.4314,0.0002,0.0
MP to prices,12,0.0891,0.0004,0.0
MP to prices,18,0.5596,0.0011,0.039
Money to prices,1,0.022,0.0842,0.0
Money to prices,3,0.1051,0.0001,0.0
Money to prices,6,0.013,0.0003,0.0
Money to prices,9,0.988,0.0037,0.0
Money to prices,12,0.1732,0.0142,0.0
Money to prices,18,0.9289,0.0011,0.0054
Oil to prices,1,0.0,0.0,0.0
Oil to prices,3,0.0,0.0,0.0
Oil to prices,6,0.0,0.0,0.0
Oil to prices,9,0.3493,0.0,0.0
Oil to prices,12,0.5836,0.0,0.0
Oil to prices,18,0.036,0.0,0.0001
Oil to output,1,0.02,0.0,0.0036
Oil to output,3,0.2142,0.0,0.0002
Oil to output,6,0.3033,0.0,0.0
Oil to output,9,0.2673,0.0,0.0
Oil to output,12,0.0621,0.0,0.0043
Oil to output,18,0.6396,0.0,0.3035
Output to unemployment,1,0.0,0.0,0.0
Output to unemployment,3,0.005,0.0,0.0
Output to unemployment,6,0.037,0.0,0.0
Output to unemployment,9,0.6466,0.0,0.0
Output to unemployment,12,0.2072,0.0,0.0
Output to unemployment,18,0.1652,0.0,0.0
