dgp,n,lag,method,reps,rejection_rate,mean_pvalue,causal,mc_se
P1,500,1,drgc,200,1.0,0.0,True,0.0
P1,500,1,drgc_naive,200,1.0,0.0,True,0.0
P1,500,1,nhkj,200,1.0,0.0,True,0.0
P1,500,2,drgc,200,1.0,0.0,True,0.0
P1,500,2,drgc_naive,200,1.0,0.0,True,0.0
P1,500,2,nhkj,200,1.0,0.0,True,0.0
P1,500,3,drgc,200,1.0,0.0,True,0.0
P1,500,3,drgc_naive,200,1.0,0.0001,True,0.0
P1,500,3,nhkj,200,1.0,0.0,True,0.0
P1,500,4,drgc,200,0.98,0.0024,True,0.0099
P1,500,4,drgc_naive,200,0.965,0.0085,True,0.013
P1,500,4,nhkj,200,1.0,0.0,True,0.0
P1,500,5,drgc,200,0.895,0.0178,True,0.0217
P1,500,5,drgc_naive,200,0.775,0.0462,True,0.0295
P1,500,5,nhkj,200,1.0,0.0004,True,0.0
P2,500,1,drgc,200,1.0,0.0,True,0.0
P2,500,1,drgc_naive,200,1.0,0.0001,True,0.0
P2,500,1,nhkj,200,0.965,0.0084,True,0.013
P2,500,2,drgc,200,1.0,0.0002,True,0.0
P2,500,2,drgc_naive,200,0.99,0.0019,True,0.007
P2,500,2,nhkj,200,0.995,0.0032,True,0.005
P2,500,3,drgc,200,0.975,0.0044,True,0.011
P2,500,3,drgc_naive,200,0.915,0.0189,True,0.0197
P2,500,3,nhkj,200,0.995,0.0009,True,0.005
P2,500,4,drgc,200,0.8,0.0373,True,0.0283
P2,500,4,drgc_naive,200,0.595,0.0863,True,0.0347
P2,500,4,nhkj,200,1.0,0.0003,True,0.0
P2,500,5,drgc,200,0.565,0.0853,True,0.0351
P2,500,5,drgc_naive,200,0.375,0.155,True,0.0342
P2,500,5,nhkj,200,0.995,0.002,True,0.005
P3,500,1,drgc,200,1.0,0.0,True,0.0
P3,500,1,drgc_naive,200,1.0,0.0006,True,0.0
P3,500,1,nhkj,200,1.0,0.0,True,0.0
P3,500,2,drgc,200,1.0,0.0007,True,0.0
P3,500,2,drgc_naive,200,0.95,0.0092,True,0.0154
P3,500,2,nhkj,200,0.99,0.0009,True,0.007
P3,500,3,drgc,200,0.925,0.0155,True,0.0186
P3,500,3,drgc_naive,200,0.77,0.0495,True,0.0298
P3,500,3,nhkj,200,0.975,0.005,True,0.011
P3,500,4,drgc,200,0.62,0.0588,True,0.0343
P3,500,4,drgc_naive,200,0.415,0.1482,True,0.0348
P3,500,4,nhkj,200,0.975,0.0034,True,0.011
P3,500,5,drgc,200,0.385,0.1529,True,0.0344
P3,500,5,drgc_naive,200,0.185,0.2567,True,0.0275
P3,500,5,nhkj,200,0.98,0.0034,True,0.0099
P4,500,1,drgc,200,1.0,0.0001,True,0.0
P4,500,1,drgc_naive,200,0.99,0.0037,True,0.007
P4,500,1,nhkj,200,0.99,0.0043,True,0.007
P4,500,2,drgc,200,0.965,0.0076,True,0.013
P4,500,2,drgc_naive,200,0.705,0.0456,True,0.0322
P4,500,2,nhkj,200,0.915,0.0238,True,0.0197
P4,500,3,drgc,200,0.615,0.0754,True,0.0344
P4,500,3,drgc_naive,200,0.305,0.1861,True,0.0326
P4,500,3,nhkj,200,0.57,0.0941,True,0.035
P4,500,4,drgc,200,0.315,0.195,True,0.0328
P4,500,4,drgc_naive,200,0.12,0.3339,True,0.023
P4,500,4,nhkj,200,0.57,0.0961,True,0.035
P4,500,5,drgc,200,0.17,0.3137,True,0.0266
P4,500,5,drgc_naive,200,0.08,0.4349,True,0.0192
P4,500,5,nhkj,200,0.36,0.1737,True,0.0339
S1,500,1,drgc,200,0.07,0.4659,False,0.018
S1,500,1,drgc_naive,200,0.0,0.7493,False,0.0
S1,500,1,nhkj,200,0.17,0.2649,False,0.0266
S1,500,2,drgc,200,0.055,0.4874,False,0.0161
S1,500,2,drgc_naive,200,0.005,0.7648,False,0.005
S1,500,2,nhkj,200,0.045,0.4638,False,0.0147
S1,500,3,drgc,200,0.055,0.5519,False,0.0161
S1,500,3,drgc_naive,200,0.015,0.7481,False,0.0086
S1,500,3,nhkj,200,0.04,0.4883,False,0.0139
S1,500,4,drgc,200,0.075,0.4861,False,0.0186
S1,500,4,drgc_naive,200,0.005,0.7056,False,0.005
S1,500,4,nhkj,200,0.0,0.6463,False,0.0
S1,500,5,drgc,200,0.05,0.5128,False,0.0154
S1,500,5,drgc_naive,200,0.005,0.6487,False,0.005
S1,500,5,nhkj,200,0.02,0.6669,False,0.0099
S2,500,1,drgc,200,0.045,0.4864,False,0.0147
S2,500,1,drgc_naive,200,0.005,0.7924,False,0.005
S2,500,1,nhkj,200,0.005,0.6271,False,0.005
S2,500,2,drgc,200,0.055,0.5233,False,0.0161
S2,500,2,drgc_naive,200,0.0,0.7825,False,0.0
S2,500,2,nhkj,200,0.005,0.6988,False,0.005
S2,500,3,drgc,200,0.065,0.5059,False,0.0174
S2,500,3,drgc_naive,200,0.0,0.7374,False,0.0
S2,500,3,nhkj,200,0.0,0.6982,False,0.0
S2,500,4,drgc,200,0.055,0.5042,False,0.0161
S2,500,4,drgc_naive,200,0.005,0.6834,False,0.005
S2,500,4,nhkj,200,0.0,0.757,False,0.0
S2,500,5,drgc,200,0.055,0.4747,False,0.0161
S2,500,5,drgc_naive,200,0.02,0.6473,False,0.0099
S2,500,5,nhkj,200,0.0,0.7516,False,0.0
