direction,start_idx,end_idx,start_date,end_date,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
P_t -> V_t,0,749,2019-09-30,2022-09-20,5,0.8478097497184027,0.8688688688688688,False,,1.4873479527432734,745,20.334974299999885
P_t -> V_t,21,770,2019-10-29,2022-10-19,5,0.8372689354857018,0.8488488488488488,False,,1.437112367670089,745,20.127423399997497
P_t -> V_t,42,791,2019-11-27,2022-11-17,5,1.209475393824803,0.23523523523523523,False,,1.4463589350831663,745,19.842977799999062
P_t -> V_t,63,812,2019-12-30,2022-12-19,5,0.7787991615060573,0.9429429429429429,False,,1.4617287465927398,745,19.923093599998538
P_t -> V_t,84,833,2020-01-30,2023-01-20,5,1.3293941634568562,0.11011011011011011,False,,1.4590654722746879,745,18.986771200001385
P_t -> V_t,105,854,2020-03-02,2023-02-21,5,0.9233376099048954,0.7937937937937938,False,,1.5281189386910117,745,18.88112909999836
P_t -> V_t,126,875,2020-03-31,2023-03-22,5,1.2091439436428812,0.4094094094094094,False,,1.5602922081286836,745,20.157001600000513
P_t -> V_t,147,896,2020-04-30,2023-04-21,5,1.1066826001506551,0.6306306306306306,False,,1.621637971158299,745,20.355738199999905
P_t -> V_t,168,917,2020-06-01,2023-05-22,5,1.5990861415208244,0.055055055055055056,False,*,1.6208315161263622,745,19.484553700000106
P_t -> V_t,189,938,2020-06-30,2023-06-23,5,1.1133382134198144,0.6066066066066066,False,,1.5855555368950465,745,18.917723299997306
P_t -> V_t,210,959,2020-07-30,2023-07-25,5,1.2569051008493828,0.28928928928928926,False,,1.5680327269067562,745,19.534397999999783
P_t -> V_t,231,980,2020-08-28,2023-08-23,5,0.8071958652649832,0.948948948948949,False,,1.4942812200699758,745,13.956617100000585
P_t -> V_t,252,1001,2020-09-29,2023-09-22,5,0.8272437578956833,0.9469469469469469,False,,1.541402123424877,745,13.963842000001023
P_t -> V_t,273,1022,2020-10-28,2023-10-23,5,0.9947893572616732,0.6936936936936937,False,,1.526952249627736,745,14.176459199999954
P_t -> V_t,294,1043,2020-11-27,2023-11-21,5,1.1653188702915473,0.45345345345345345,False,,1.6071944352340795,745,14.272575700000743
