Causality direction,Index,Period,1,2,3,4,5,6,7,8,9,10
P_t -> V_t,CSI 300,2019-2022,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗
P_t -> V_t,CSI 300,2020-2023,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗
P_t -> V_t,CSI 300,2021-2024,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗
P_t -> V_t,NI 225,2019-2022,✓,✗,✓,✗,✗,✓,✗,✗,✗,✗
P_t -> V_t,NI 225,2020-2023,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗
P_t -> V_t,NI 225,2021-2024,✓,✓,✗,✗,✗,✓,✓,✗,✗,✗
P_t -> V_t,SPX 500,2019-2022,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
P_t -> V_t,SPX 500,2020-2023,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
P_t -> V_t,SPX 500,2021-2024,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,CSI 300,2019-2022,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,CSI 300,2020-2023,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,CSI 300,2021-2024,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,NI 225,2019-2022,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,NI 225,2020-2023,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,NI 225,2021-2024,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,SPX 500,2019-2022,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,SPX 500,2020-2023,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
V_t -> P_t,SPX 500,2021-2024,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
