Causality direction,Index,Period,1,2,3,4,5,6,7,8,9,10
P_t -> V_t,CSI 300,2019-2022,0.0,0.0,0.113,0.0,0.305,0.453,0.063,0.332,0.814,0.902
P_t -> V_t,CSI 300,2020-2023,0.001,0.0,0.011,0.088,0.225,0.494,0.6,0.201,0.958,0.497
P_t -> V_t,CSI 300,2021-2024,0.0,0.001,0.0,0.114,0.079,0.004,0.92,0.178,0.336,0.442
P_t -> V_t,NI 225,2019-2022,0.029,0.063,0.003,0.132,0.463,0.032,0.474,0.406,0.766,0.631
P_t -> V_t,NI 225,2020-2023,0.0,0.121,0.009,0.164,0.422,0.591,0.758,0.117,0.085,0.358
P_t -> V_t,NI 225,2021-2024,0.04,0.0,0.29,0.755,0.166,0.047,0.026,0.508,0.749,0.573
P_t -> V_t,SPX 500,2019-2022,0.078,0.229,0.249,0.206,0.771,0.698,0.209,0.131,0.05,0.227
P_t -> V_t,SPX 500,2020-2023,0.213,0.407,0.371,0.737,0.94,0.429,0.903,0.775,0.982,0.318
P_t -> V_t,SPX 500,2021-2024,0.584,0.796,0.763,0.809,0.566,0.773,0.89,0.985,0.838,0.109
V_t -> P_t,CSI 300,2019-2022,0.317,0.366,0.006,0.36,0.225,0.62,0.623,0.322,0.977,0.053
V_t -> P_t,CSI 300,2020-2023,0.433,0.327,0.114,0.307,0.798,0.875,0.996,0.382,0.089,0.602
V_t -> P_t,CSI 300,2021-2024,0.126,0.109,0.474,0.31,0.427,0.928,0.059,0.206,0.487,0.249
V_t -> P_t,NI 225,2019-2022,0.249,0.919,0.277,0.98,0.573,0.31,0.405,0.926,0.125,0.56
V_t -> P_t,NI 225,2020-2023,0.561,0.941,0.856,0.949,0.835,0.339,0.924,0.449,0.802,0.912
V_t -> P_t,NI 225,2021-2024,0.791,0.385,0.462,0.46,0.903,0.617,0.777,0.457,0.806,0.811
V_t -> P_t,SPX 500,2019-2022,0.146,0.844,0.52,0.833,0.232,0.686,0.246,0.478,0.601,0.733
V_t -> P_t,SPX 500,2020-2023,0.679,0.402,0.784,0.314,0.473,0.392,0.688,0.63,0.472,0.68
V_t -> P_t,SPX 500,2021-2024,0.382,0.318,0.784,0.777,0.517,0.453,0.782,0.54,0.989,0.623
